18S_rRNA	18S_rRNA.1	DOID:9643	Babesiosis	7.225	3.612	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
ENSP00000296498	PRSS12	DOID:1612	Breast cancer	1.577	0.788	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296498&type2=-26&id2=DOID:1612
ENSP00000296499	NDST3	DOID:1612	Breast cancer	1.700	0.850	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296499&type2=-26&id2=DOID:1612
ENSP00000296503	HMGB2	DOID:1612	Breast cancer	3.029	1.514	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296503&type2=-26&id2=DOID:1612
ENSP00000296504	SAP30	DOID:1612	Breast cancer	2.810	1.405	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296504&type2=-26&id2=DOID:1612
ENSP00000296506	SCRG1	DOID:1612	Breast cancer	2.434	1.217	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296506&type2=-26&id2=DOID:1612
ENSP00000296509	MAD2L1	DOID:1612	Breast cancer	4.370	2.185	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296509&type2=-26&id2=DOID:1612
ENSP00000296511	ANXA5	DOID:1612	Breast cancer	6.955	3.477	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296511&type2=-26&id2=DOID:1612
ENSP00000296518	GUCY1A1	DOID:1612	Breast cancer	1.830	0.915	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296518&type2=-26&id2=DOID:1612
ENSP00000296522	HPGD	DOID:1612	Breast cancer	4.004	2.002	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296522&type2=-26&id2=DOID:1612
ENSP00000296525	ASB5	DOID:1612	Breast cancer	1.088	0.544	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296525&type2=-26&id2=DOID:1612
ENSP00000296526	GRIA2	DOID:1612	Breast cancer	2.669	1.335	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296526&type2=-26&id2=DOID:1612
ENSP00000296529	TMEM144	DOID:1612	Breast cancer	1.395	0.698	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296529&type2=-26&id2=DOID:1612
ENSP00000296543	NAA15	DOID:1612	Breast cancer	2.093	1.047	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296543&type2=-26&id2=DOID:1612
ENSP00000296545	IL15	DOID:1612	Breast cancer	5.377	2.689	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296545&type2=-26&id2=DOID:1612
ENSP00000296575	HHIP	DOID:1612	Breast cancer	2.961	1.480	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296575&type2=-26&id2=DOID:1612
ENSP00000296577	ABCE1	DOID:1612	Breast cancer	3.332	1.666	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296577&type2=-26&id2=DOID:1612
ENSP00000296581	LSM6	DOID:1612	Breast cancer	1.588	0.794	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296581&type2=-26&id2=DOID:1612
ENSP00000296585	ITGA2	DOID:1612	Breast cancer	4.926	2.463	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296585&type2=-26&id2=DOID:1612
ENSP00000296589	SLC45A2	DOID:1612	Breast cancer	2.614	1.307	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296589&type2=-26&id2=DOID:1612
ENSP00000296591	EDIL3	DOID:1612	Breast cancer	3.657	1.829	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296591&type2=-26&id2=DOID:1612
ENSP00000296597	NDUFAF2	DOID:1612	Breast cancer	1.005	0.502	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296597&type2=-26&id2=DOID:1612
ENSP00000296632	STARD4	DOID:1612	Breast cancer	2.436	1.218	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296632&type2=-26&id2=DOID:1612
ENSP00000296641	F2RL2	DOID:1612	Breast cancer	2.466	1.233	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296641&type2=-26&id2=DOID:1612
ENSP00000296658	CMBL	DOID:1612	Breast cancer	2.565	1.283	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296658&type2=-26&id2=DOID:1612
ENSP00000296674	RPS23	DOID:1612	Breast cancer	2.782	1.391	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296674&type2=-26&id2=DOID:1612
ENSP00000296677	F2RL1	DOID:1612	Breast cancer	2.871	1.436	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296677&type2=-26&id2=DOID:1612
ENSP00000296682	PRDM9	DOID:1612	Breast cancer	2.796	1.398	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296682&type2=-26&id2=DOID:1612
ENSP00000296684	NDUFS4	DOID:1612	Breast cancer	1.765	0.883	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296684&type2=-26&id2=DOID:1612
ENSP00000296694	SCGB3A2	DOID:1612	Breast cancer	1.984	0.992	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296694&type2=-26&id2=DOID:1612
ENSP00000296695	SPINK1	DOID:1612	Breast cancer	3.648	1.824	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296695&type2=-26&id2=DOID:1612
ENSP00000296702	TCERG1	DOID:1612	Breast cancer	2.594	1.297	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296702&type2=-26&id2=DOID:1612
ENSP00000296721	AFAP1L1	DOID:1612	Breast cancer	1.423	0.712	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296721&type2=-26&id2=DOID:1612
ENSP00000296741	ENPP6	DOID:1612	Breast cancer	1.562	0.781	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296741&type2=-26&id2=DOID:1612
ENSP00000296754	ERAP1	DOID:1612	Breast cancer	2.787	1.393	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296754&type2=-26&id2=DOID:1612
ENSP00000296755	MAP1B	DOID:1612	Breast cancer	4.082	2.041	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296755&type2=-26&id2=DOID:1612
ENSP00000296777	CARTPT	DOID:1612	Breast cancer	2.145	1.072	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296777&type2=-26&id2=DOID:1612
ENSP00000296782	RICTOR	DOID:1612	Breast cancer	4.863	2.432	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296782&type2=-26&id2=DOID:1612
ENSP00000296786	UBLCP1	DOID:1612	Breast cancer	1.474	0.737	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296786&type2=-26&id2=DOID:1612
ENSP00000296795	TLR3	DOID:1612	Breast cancer	4.958	2.479	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296795&type2=-26&id2=DOID:1612
ENSP00000296839	FOXQ1	DOID:1612	Breast cancer	4.171	2.086	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296839&type2=-26&id2=DOID:1612
ENSP00000296849	NKD2	DOID:1612	Breast cancer	3.491	1.745	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296849&type2=-26&id2=DOID:1612
ENSP00000296859	RAPGEF6	DOID:1612	Breast cancer	2.111	1.056	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296859&type2=-26&id2=DOID:1612
ENSP00000296861	TNFRSF21	DOID:1612	Breast cancer	3.473	1.736	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296861&type2=-26&id2=DOID:1612
ENSP00000296862	ADGRF2	DOID:1612	Breast cancer	1.139	0.569	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296862&type2=-26&id2=DOID:1612
ENSP00000296870	IL3	DOID:1612	Breast cancer	4.889	2.445	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296870&type2=-26&id2=DOID:1612
ENSP00000296871	CSF2	DOID:1612	Breast cancer	6.131	3.065	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296871&type2=-26&id2=DOID:1612
ENSP00000296921	TLX3	DOID:1612	Breast cancer	2.359	1.179	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296921&type2=-26&id2=DOID:1612
ENSP00000296930	NPM1	DOID:1612	Breast cancer	4.932	2.466	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296930&type2=-26&id2=DOID:1612
ENSP00000296946	TBXT	DOID:1612	Breast cancer	2.912	1.456	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296946&type2=-26&id2=DOID:1612
ENSP00000296953	CREBRF	DOID:1612	Breast cancer	2.118	1.059	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296953&type2=-26&id2=DOID:1612
ENSP00000296955	DCBLD1	DOID:1612	Breast cancer	2.086	1.043	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296955&type2=-26&id2=DOID:1612
ENSP00000296980	IL22RA2	DOID:1612	Breast cancer	2.002	1.001	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000296980&type2=-26&id2=DOID:1612
ENSP00000297012	H2AC1	DOID:1612	Breast cancer	2.736	1.368	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297012&type2=-26&id2=DOID:1612
ENSP00000297029	SCIN	DOID:1612	Breast cancer	4.113	2.057	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297029&type2=-26&id2=DOID:1612
ENSP00000297044	CYTH3	DOID:1612	Breast cancer	2.948	1.474	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297044&type2=-26&id2=DOID:1612
ENSP00000297056	DAGLB	DOID:1612	Breast cancer	1.234	0.617	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297056&type2=-26&id2=DOID:1612
ENSP00000297071	TRA2A	DOID:1612	Breast cancer	2.955	1.477	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297071&type2=-26&id2=DOID:1612
ENSP00000297107	GALNT10	DOID:1612	Breast cancer	2.237	1.118	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297107&type2=-26&id2=DOID:1612
ENSP00000297109	SAP30L	DOID:1612	Breast cancer	1.478	0.739	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297109&type2=-26&id2=DOID:1612
ENSP00000297142	NEUROD6	DOID:1612	Breast cancer	1.182	0.591	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297142&type2=-26&id2=DOID:1612
ENSP00000297145	BMT2	DOID:1612	Breast cancer	2.208	1.104	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297145&type2=-26&id2=DOID:1612
ENSP00000297146	GPR85	DOID:1612	Breast cancer	2.365	1.183	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297146&type2=-26&id2=DOID:1612
ENSP00000297151	SLU7	DOID:1612	Breast cancer	1.877	0.938	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297151&type2=-26&id2=DOID:1612
ENSP00000297156	CAMLG	DOID:1612	Breast cancer	2.407	1.204	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297156&type2=-26&id2=DOID:1612
ENSP00000297164	RELL2	DOID:1612	Breast cancer	1.787	0.893	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297164&type2=-26&id2=DOID:1612
ENSP00000297185	HSPA9	DOID:1612	Breast cancer	4.150	2.075	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297185&type2=-26&id2=DOID:1612
ENSP00000297205	STEAP1	DOID:1612	Breast cancer	3.918	1.959	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297205&type2=-26&id2=DOID:1612
ENSP00000297258	FABP5	DOID:1612	Breast cancer	4.405	2.202	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297258&type2=-26&id2=DOID:1612
ENSP00000297261	SHH	DOID:1612	Breast cancer	5.386	2.693	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297261&type2=-26&id2=DOID:1612
ENSP00000297265	CHMP4C	DOID:1612	Breast cancer	2.930	1.465	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297265&type2=-26&id2=DOID:1612
ENSP00000297267	FNDC1	DOID:1612	Breast cancer	2.955	1.478	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297267&type2=-26&id2=DOID:1612
ENSP00000297268	COL1A2	DOID:1612	Breast cancer	4.667	2.334	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297268&type2=-26&id2=DOID:1612
ENSP00000297273	CASD1	DOID:1612	Breast cancer	1.926	0.963	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297273&type2=-26&id2=DOID:1612
ENSP00000297282	SLC13A4	DOID:1612	Breast cancer	1.092	0.546	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297282&type2=-26&id2=DOID:1612
ENSP00000297283	PGAM2	DOID:1612	Breast cancer	2.334	1.167	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297283&type2=-26&id2=DOID:1612
ENSP00000297290	BRI3	DOID:1612	Breast cancer	1.744	0.872	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297290&type2=-26&id2=DOID:1612
ENSP00000297293	LMTK2	DOID:1612	Breast cancer	2.341	1.171	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297293&type2=-26&id2=DOID:1612
ENSP00000297313	RGS20	DOID:1612	Breast cancer	2.788	1.394	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297313&type2=-26&id2=DOID:1612
ENSP00000297316	SOX17	DOID:1612	Breast cancer	4.156	2.078	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297316&type2=-26&id2=DOID:1612
ENSP00000297323	ADCY1	DOID:1612	Breast cancer	2.615	1.307	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297323&type2=-26&id2=DOID:1612
ENSP00000297325	SUN3	DOID:1612	Breast cancer	1.208	0.604	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297325&type2=-26&id2=DOID:1612
ENSP00000297338	RAD21	DOID:1612	Breast cancer	4.497	2.248	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297338&type2=-26&id2=DOID:1612
ENSP00000297347	MED30	DOID:1612	Breast cancer	2.235	1.117	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297347&type2=-26&id2=DOID:1612
ENSP00000297350	TNFRSF11B	DOID:1612	Breast cancer	5.108	2.554	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297350&type2=-26&id2=DOID:1612
ENSP00000297354	SBSPON	DOID:1612	Breast cancer	1.195	0.597	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297354&type2=-26&id2=DOID:1612
ENSP00000297375	EN2	DOID:1612	Breast cancer	2.755	1.377	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297375&type2=-26&id2=DOID:1612
ENSP00000297405	CSMD3	DOID:1612	Breast cancer	3.776	1.888	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297405&type2=-26&id2=DOID:1612
ENSP00000297423	SPIDR	DOID:1612	Breast cancer	2.151	1.075	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297423&type2=-26&id2=DOID:1612
ENSP00000297431	ORC5	DOID:1612	Breast cancer	2.295	1.147	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297431&type2=-26&id2=DOID:1612
ENSP00000297435	DEFA4	DOID:1612	Breast cancer	1.116	0.558	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297435&type2=-26&id2=DOID:1612
ENSP00000297436	DEFA6	DOID:1612	Breast cancer	1.199	0.599	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297436&type2=-26&id2=DOID:1612
ENSP00000297439	DEFB1	DOID:1612	Breast cancer	3.322	1.661	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297439&type2=-26&id2=DOID:1612
ENSP00000297459	TMEM74	DOID:1612	Breast cancer	2.323	1.162	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297459&type2=-26&id2=DOID:1612
ENSP00000297494	NOS3	DOID:1612	Breast cancer	4.321	2.161	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297494&type2=-26&id2=DOID:1612
ENSP00000297504	ABCB8	DOID:1612	Breast cancer	2.854	1.427	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297504&type2=-26&id2=DOID:1612
ENSP00000297508	MICALL2	DOID:1612	Breast cancer	1.720	0.860	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297508&type2=-26&id2=DOID:1612
ENSP00000297512	ASIC3	DOID:1612	Breast cancer	2.246	1.123	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297512&type2=-26&id2=DOID:1612
ENSP00000297532	FASTK	DOID:1612	Breast cancer	2.549	1.275	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297532&type2=-26&id2=DOID:1612
ENSP00000297540	PHAX	DOID:1612	Breast cancer	1.583	0.791	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297540&type2=-26&id2=DOID:1612
ENSP00000297578	SLC25A32	DOID:1612	Breast cancer	1.504	0.752	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297578&type2=-26&id2=DOID:1612
ENSP00000297579	DCAF13	DOID:1612	Breast cancer	3.098	1.549	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297579&type2=-26&id2=DOID:1612
ENSP00000297581	DCSTAMP	DOID:1612	Breast cancer	3.628	1.814	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297581&type2=-26&id2=DOID:1612
ENSP00000297591	VIRMA	DOID:1612	Breast cancer	4.462	2.231	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297591&type2=-26&id2=DOID:1612
ENSP00000297613	RPP25L	DOID:1612	Breast cancer	1.123	0.561	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297613&type2=-26&id2=DOID:1612
ENSP00000297623	C9orf24	DOID:1612	Breast cancer	1.721	0.860	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297623&type2=-26&id2=DOID:1612
ENSP00000297632	TMEM65	DOID:1612	Breast cancer	1.574	0.787	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297632&type2=-26&id2=DOID:1612
ENSP00000297679	HSD3B7	DOID:1612	Breast cancer	1.470	0.735	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297679&type2=-26&id2=DOID:1612
ENSP00000297689	NFIL3	DOID:1612	Breast cancer	3.417	1.709	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297689&type2=-26&id2=DOID:1612
ENSP00000297785	ALDH1A1	DOID:1612	Breast cancer	6.316	3.158	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297785&type2=-26&id2=DOID:1612
ENSP00000297792	KDM1B	DOID:1612	Breast cancer	3.560	1.780	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297792&type2=-26&id2=DOID:1612
ENSP00000297837	ANKS6	DOID:1612	Breast cancer	1.171	0.585	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297837&type2=-26&id2=DOID:1612
ENSP00000297848	COL14A1	DOID:1612	Breast cancer	3.369	1.685	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297848&type2=-26&id2=DOID:1612
ENSP00000297857	ZHX1	DOID:1612	Breast cancer	2.625	1.312	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297857&type2=-26&id2=DOID:1612
ENSP00000297904	VEGFD	DOID:1612	Breast cancer	5.070	2.535	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297904&type2=-26&id2=DOID:1612
ENSP00000297954	WNK2	DOID:1612	Breast cancer	2.549	1.275	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297954&type2=-26&id2=DOID:1612
ENSP00000297988	AQP7	DOID:1612	Breast cancer	3.206	1.603	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297988&type2=-26&id2=DOID:1612
ENSP00000297990	NOL6	DOID:1612	Breast cancer	1.824	0.912	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297990&type2=-26&id2=DOID:1612
ENSP00000297991	AQP3	DOID:1612	Breast cancer	3.636	1.818	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000297991&type2=-26&id2=DOID:1612
ENSP00000298032	ARMC3	DOID:1612	Breast cancer	1.566	0.783	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298032&type2=-26&id2=DOID:1612
ENSP00000298048	MELK	DOID:1612	Breast cancer	4.760	2.380	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298048&type2=-26&id2=DOID:1612
ENSP00000298050	DEUP1	DOID:1612	Breast cancer	1.833	0.916	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298050&type2=-26&id2=DOID:1612
ENSP00000298097	FBXO33	DOID:1612	Breast cancer	1.496	0.748	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298097&type2=-26&id2=DOID:1612
ENSP00000298119	LRFN5	DOID:1612	Breast cancer	1.328	0.664	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298119&type2=-26&id2=DOID:1612
ENSP00000298125	WDFY2	DOID:1612	Breast cancer	2.859	1.430	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298125&type2=-26&id2=DOID:1612
ENSP00000298139	WRN	DOID:1612	Breast cancer	4.603	2.302	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298139&type2=-26&id2=DOID:1612
ENSP00000298159	CFL2	DOID:1612	Breast cancer	4.990	2.495	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298159&type2=-26&id2=DOID:1612
ENSP00000298198	PGM2L1	DOID:1612	Breast cancer	1.570	0.785	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298198&type2=-26&id2=DOID:1612
ENSP00000298223	FOLR2	DOID:1612	Breast cancer	5.131	2.566	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298223&type2=-26&id2=DOID:1612
ENSP00000298229	INPPL1	DOID:1612	Breast cancer	3.686	1.843	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298229&type2=-26&id2=DOID:1612
ENSP00000298231	PHOX2A	DOID:1612	Breast cancer	1.866	0.933	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298231&type2=-26&id2=DOID:1612
ENSP00000298248	CRYL1	DOID:1612	Breast cancer	1.222	0.611	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298248&type2=-26&id2=DOID:1612
ENSP00000298251	HEPACAM	DOID:1612	Breast cancer	2.135	1.068	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298251&type2=-26&id2=DOID:1612
ENSP00000298281	PCF11	DOID:1612	Breast cancer	2.482	1.241	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298281&type2=-26&id2=DOID:1612
ENSP00000298282	PKNOX2	DOID:1612	Breast cancer	1.726	0.863	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298282&type2=-26&id2=DOID:1612
ENSP00000298283	RPL10L	DOID:1612	Breast cancer	1.621	0.811	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298283&type2=-26&id2=DOID:1612
ENSP00000298288	LRR1	DOID:1612	Breast cancer	2.209	1.105	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298288&type2=-26&id2=DOID:1612
ENSP00000298295	DEPP1	DOID:1612	Breast cancer	1.943	0.972	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298295&type2=-26&id2=DOID:1612
ENSP00000298296	MAGEC3	DOID:1612	Breast cancer	2.058	1.029	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298296&type2=-26&id2=DOID:1612
ENSP00000298299	ZNF22	DOID:1612	Breast cancer	1.299	0.650	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298299&type2=-26&id2=DOID:1612
ENSP00000298307	KLHDC2	DOID:1612	Breast cancer	1.221	0.610	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298307&type2=-26&id2=DOID:1612
ENSP00000298316	ARF6	DOID:1612	Breast cancer	4.592	2.296	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298316&type2=-26&id2=DOID:1612
ENSP00000298317	RPUSD4	DOID:1612	Breast cancer	1.488	0.744	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298317&type2=-26&id2=DOID:1612
ENSP00000298351	TMEM63C	DOID:1612	Breast cancer	2.306	1.153	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298351&type2=-26&id2=DOID:1612
ENSP00000298352	NGB	DOID:1612	Breast cancer	2.562	1.281	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298352&type2=-26&id2=DOID:1612
ENSP00000298355	TRIM9	DOID:1612	Breast cancer	2.328	1.164	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298355&type2=-26&id2=DOID:1612
ENSP00000298375	AKR1E2	DOID:1612	Breast cancer	1.322	0.661	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298375&type2=-26&id2=DOID:1612
ENSP00000298386	RXFP2	DOID:1612	Breast cancer	1.846	0.923	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298386&type2=-26&id2=DOID:1612
ENSP00000298396	SSX3	DOID:1612	Breast cancer	2.480	1.240	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000298396&type2=-26&id2=DOID:1612
