stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000229135,9606.ENSP00000399168,IFNG,HLA-B,9606,0.673,0.0,0.0,0.0,0.059,0.0,0.0,0.667
9606.ENSP00000229135,9606.ENSP00000360181,IFNG,SH2D1A,9606,0.799,0.0,0.0,0.0,0.294,0.0,0.0,0.727
9606.ENSP00000229135,9606.ENSP00000338010,IFNG,IL21R,9606,0.872,0.0,0.0,0.0,0.171,0.0,0.65,0.594
9606.ENSP00000229135,9606.ENSP00000368632,IFNG,GATA3,9606,0.89,0.0,0.0,0.0,0.129,0.0,0.0,0.879
9606.ENSP00000229135,9606.ENSP00000398568,IFNG,PRF1,9606,0.95,0.0,0.0,0.0,0.334,0.0,0.0,0.929
9606.ENSP00000229135,9606.ENSP00000497102,IFNG,CTLA4,9606,0.951,0.0,0.0,0.0,0.302,0.0,0.0,0.933
9606.ENSP00000229135,9606.ENSP00000324890,IFNG,CD28,9606,0.954,0.0,0.0,0.0,0.123,0.0,0.0,0.95
9606.ENSP00000229135,9606.ENSP00000351255,IFNG,STAT4,9606,0.981,0.0,0.0,0.0,0.186,0.0,0.75,0.917
9606.ENSP00000229135,9606.ENSP00000398698,IFNG,TNF,9606,0.991,0.0,0.0,0.0,0.202,0.0,0.0,0.99
9606.ENSP00000233893,9606.ENSP00000411532,HSPE1,TOP2A,9606,0.404,0.07,0.0,0.0,0.095,0.0,0.0,0.349
9606.ENSP00000233893,9606.ENSP00000364805,HSPE1,HSPA1L,9606,0.768,0.059,0.0,0.0,0.4,0.091,0.0,0.601
9606.ENSP00000233893,9606.ENSP00000302961,HSPE1,HSPA4,9606,0.93,0.059,0.0,0.0,0.46,0.23,0.0,0.842
9606.ENSP00000237853,9606.ENSP00000428426,ELL2,TCEA1,9606,0.425,0.0,0.0,0.0,0.042,0.096,0.0,0.389
9606.ENSP00000237853,9606.ENSP00000356405,ELL2,CDC73,9606,0.921,0.0,0.0,0.0,0.045,0.0,0.9,0.243
9606.ENSP00000237853,9606.ENSP00000378578,ELL2,AFF1,9606,0.999,0.0,0.0,0.0,0.117,0.616,0.9,0.997
9606.ENSP00000239938,9606.ENSP00000339527,EGR1,FOXO3,9606,0.421,0.0,0.0,0.0,0.042,0.096,0.0,0.386
